#,Company,Symbol,Weight,Price
1,Nvidia,NVDA,"0,0765","181,99"
2,Microsoft,MSFT,"0,0667","520,99"
3,"Apple Inc,",AAPL,"0,0597","233,28"
4,Amazon,AMZN,"0,0427","232,14"
5,Meta Platforms,META,"0,0339","783,78"
6,Broadcom,AVGO,"0,0252","310,59"
7,"Alphabet Inc, (Class A)",GOOGL,"0,0219","203,36"
8,"Alphabet Inc, (Class C)",GOOG,"0,0206","204,34"
9,"Tesla, Inc,",TSLA,"0,0186","334,28"
10,Berkshire Hathaway,"BRK,B","0,0177","477,33"
11,JPMorgan Chase,JPM,"0,0139","293,07"
12,Walmart,WMT,"0,0139","100,85"
13,Oracle Corporation,ORCL,"0,0118","244,32"
14,"Visa Inc,",V,"0,0115",345
15,Lilly (Eli),LLY,"0,0106","683,54"
16,Mastercard,MA,"0,0091","581,95"
17,Netflix,NFLX,"0,009","1234,48"
18,ExxonMobil,XOM,"0,0079","107,22"
19,Costco,COST,"0,0075","981,28"
20,Palantir Technologies,PLTR,"0,0074","180,96"
21,Johnson & Johnson,JNJ,"0,0073","175,13"
22,Home Depot (The),HD,"0,0069","400,02"
23,AbbVie,ABBV,"0,0062","204,9"
24,Procter & Gamble,PG,"0,0062","153,6"
25,Bank of America,BAC,"0,0061","47,6"
26,Chevron Corporation,CVX,"0,0054","154,9"
27,Coca-Cola Company (The),KO,"0,0052","69,53"
28,Advanced Micro Devices,AMD,"0,005","180,39"
29,GE Aerospace,GE,"0,0049","270,87"
30,T-Mobile US,TMUS,"0,0049","251,04"
31,Cisco,CSCO,"0,0047","69,42"
32,Philip Morris International,PM,"0,0044","165,31"
33,Wells Fargo,WFC,"0,0044","79,45"
34,UnitedHealth Group,UNH,"0,0042","270,76"
35,Morgan Stanley,MS,"0,0041","148,16"
36,Goldman Sachs,GS,"0,0039","744,63"
37,Abbott Laboratories,ABT,"0,0039","129,5"
38,Linde plc,LIN,"0,0039","477,08"
39,Salesforce,CRM,"0,0039","233,82"
40,IBM,IBM,"0,0038","237,65"
41,McDonald's,MCD,"0,0038","308,27"
42,American Express,AXP,"0,0037","306,47"
43,Walt Disney Company (The),DIS,"0,0036","116,27"
44,RTX Corporation,RTX,"0,0036","155,03"
45,"Merck & Co,",MRK,"0,0036","82,56"
46,AT&T,T,"0,0035","28,68"
47,PepsiCo,PEP,"0,0035","149,08"
48,Intuit,INTU,"0,0034","710,86"
49,"Caterpillar Inc,",CAT,"0,0034","416,33"
50,Uber,UBER,"0,0033","91,4"
51,Verizon,VZ,"0,0032","43,53"
52,Thermo Fisher Scientific,TMO,"0,0031","482,91"
53,BlackRock,BLK,"0,0031","1157,73"
54,Charles Schwab Corporation,SCHW,"0,0031","97,94"
55,Booking Holdings,BKNG,"0,0031","5476,99"
56,ServiceNow,NOW,"0,003","849,47"
57,Boeing,BA,"0,003","232,6"
58,Texas Instruments,TXN,"0,003","192,64"
59,Citigroup,C,"0,003","94,93"
60,S&P Global,SPGI,"0,003","563,15"
61,Arista Networks,ANET,"0,003","136,51"
62,Intuitive Surgical,ISRG,"0,0029","475,39"
63,Qualcomm,QCOM,"0,0029","157,6"
64,GE Vernova,GEV,"0,0029","623,96"
65,Amgen,AMGN,"0,0027","290,25"
66,Accenture,ACN,"0,0026","245,75"
67,Boston Scientific,BSX,"0,0026","103,21"
68,Applied Materials,AMAT,"0,0026","189,94"
69,Danaher Corporation,DHR,"0,0026","209,62"
70,TJX Companies,TJX,"0,0026","133,66"
71,NextEra Energy,NEE,"0,0026","71,93"
72,"Adobe Inc,",ADBE,"0,0026","349,03"
73,Gilead Sciences,GILD,"0,0025","119,09"
74,Progressive Corporation,PGR,"0,0025","251,23"
75,Stryker Corporation,SYK,"0,0025","377,6"
76,Pfizer,PFE,"0,0025","25,14"
77,Lowe's,LOW,"0,0024","253,1"
78,Capital One,COF,"0,0024","219,68"
79,Micron Technology,MU,"0,0024","124,8"
80,Eaton Corporation,ETN,"0,0024","355,78"
81,Honeywell,HON,"0,0024","218,05"
82,"Blackstone Inc,",BX,"0,0023","174,18"
83,Lam Research,LRCX,"0,0023","107,39"
84,Amphenol,APH,"0,0023","110,5"
85,Union Pacific Corporation,UNP,"0,0022","219,96"
86,KKR,KKR,"0,0022","146,16"
87,Deere & Company,DE,"0,0022","480,47"
88,KLA Corporation,KLAC,"0,0022","952,74"
89,Automatic Data Processing,ADP,"0,0021","303,25"
90,Comcast,CMCSA,"0,0021","32,98"
91,ConocoPhillips,COP,"0,0021","95,41"
92,Medtronic,MDT,"0,002","91,93"
93,Analog Devices,ADI,"0,002","234,79"
94,Palo Alto Networks,PANW,"0,002","174,29"
95,Synopsys,SNPS,"0,002","614,05"
96,"Nike, Inc,",NKE,"0,0019","76,19"
97,Altria,MO,"0,0019","65,63"
98,Chubb Limited,CB,"0,0019","275,26"
99,Welltower,WELL,"0,0019","162,1"
100,DoorDash,DASH,"0,0018","249,12"
101,Starbucks,SBUX,"0,0018","93,22"
102,CrowdStrike,CRWD,"0,0018","423,96"
103,Intercontinental Exchange,ICE,"0,0018","182,39"
104,Southern Company,SO,"0,0018","93,92"
105,Constellation Energy,CEG,"0,0018","328,25"
106,Lockheed Martin,LMT,"0,0018","436,04"
107,Marsh McLennan,MMC,"0,0018","206,98"
108,Vertex Pharmaceuticals,VRTX,"0,0017","389,78"
109,Intel,INTC,"0,0017","22,68"
110,CME Group,CME,"0,0017","275,27"
111,Prologis,PLD,"0,0017","105,98"
112,Bristol Myers Squibb,BMY,"0,0017","47,85"
113,Duke Energy,DUK,"0,0017","124,27"
114,Trane Technologies,TT,"0,0016","430,05"
115,American Tower,AMT,"0,0016","203,03"
116,Parker Hannifin,PH,"0,0016","743,62"
117,Cadence Design Systems,CDNS,"0,0016","347,53"
118,Dell Technologies,DELL,"0,0016","139,29"
119,Moody's Corporation,MCO,"0,0016","523,03"
120,HCA Healthcare,HCA,"0,0016","393,14"
121,Waste Management,WM,"0,0016","227,06"
122,Sherwin-Williams,SHW,"0,0016","365,34"
123,Cintas,CTAS,"0,0015","222,51"
124,O'Reilly Auto Parts,ORLY,"0,0015","101,68"
125,Royal Caribbean Group,RCL,"0,0015","313,5"
126,General Dynamics,GD,"0,0015","316,15"
127,CVS Health,CVS,"0,0015","66,7"
128,3M,MMM,"0,0014","157,85"
129,McKesson Corporation,MCK,"0,0014","672,79"
130,Northrop Grumman,NOC,"0,0014","583,32"
131,Coinbase Global,COIN,"0,0014","323,33"
132,Apollo Global Management,APO,"0,0014","140,17"
133,Mondelez International,MDLZ,"0,0014","61,65"
134,TransDigm Group,TDG,"0,0014","1414,51"
135,Ecolab,ECL,"0,0014","279,18"
136,Aon,AON,"0,0014","365,94"
137,Cigna,CI,"0,0013","290,17"
138,Motorola Solutions,MSI,"0,0013","461,96"
139,Illinois Tool Works,ITW,"0,0013","262,91"
140,Airbnb,ABNB,"0,0013","124,93"
141,PNC Financial Services,PNC,"0,0013","194,22"
142,Emerson Electric,EMR,"0,0013","134,29"
143,Equinix,EQIX,"0,0013","770,51"
144,United Parcel Service,UPS,"0,0013","88,76"
145,Newmont,NEM,"0,0013","68,43"
146,"Arthur J, Gallagher & Co,",AJG,"0,0013","292,59"
147,BNY Mellon,BK,"0,0013","103,65"
148,Fiserv,FI,"0,0013","133,82"
149,Republic Services,RSG,"0,0013","232,94"
150,"U,S, Bancorp",USB,"0,0013","46,64"
151,Marriott International,MAR,"0,0012","267,22"
152,Howmet Aerospace,HWM,"0,0012","176,65"
153,Williams Companies,WMB,"0,0012","57,28"
154,Johnson Controls,JCI,"0,0012","105,54"
155,"Vistra Corp,",VST,"0,0012","203,43"
156,Colgate-Palmolive,CL,"0,0012","84,66"
157,CSX Corporation,CSX,"0,0012","36,27"
158,Zoetis,ZTS,"0,0012","152,11"
159,AutoZone,AZO,"0,0012","4002,28"
