Symbol,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF
NVDA,NVIDIA Corporation,4338391930000,165218000000,95981000000,86597000000,3.52,72023000000
MSFT,Microsoft Corporation,3801767276203,281724000000,128528000000,101832000000,13.64,71611000000
AAPL,Apple Inc.,3791126029400,408625000000,130214000000,99280000000,6.59,96184000000
GOOG,Alphabet Inc.,2989536347992,371399000000,121370000000,115573000000,9.37,66728000000
GOOGL,Alphabet Inc.,2981795821806,371399000000,121370000000,115573000000,9.38,66728000000
AMZN,"Amazon.com, Inc.",2343934380679,670038000000,76190000000,70623000000,6.56,51349000000
META,"Meta Platforms, Inc.",1868445063231,178804000000,78710000000,71507000000,27.58,50137000000
AVGO,Broadcom Inc.,1571700874026,59926000000,22603000000,18932000000,3.92,24930000000
TSLA,"Tesla, Inc.",1420448259502,92720000000,5622000000,6065000000,1.73,5586000000
TSM,Taiwan Semiconductor Manufacturing Company Limited,1417793469381,116359865036,54370112339,49431646425,9.53,30788643530
BRK.A,Berkshire Hathaway Inc.,1078552887296,397146000000,85118000000,62918000000,43782.48,8225000000
BRK.B,Berkshire Hathaway Inc.,1078553149440,397146000000,85118000000,62918000000,29.17,8225000000
JPM,JPMorgan Chase & Co.,869087203095,175644000000,82941000000,55153000000,19.49,-148615000000
WMT,Walmart Inc.,822479321746,693153000000,28988000000,21344000000,2.67,13934000000
ORCL,Oracle Corporation,795191643900,59018000000,17964000000,12441000000,4.32,-5880000000
LLY,Eli Lilly and Company,651619849802,53258100000,16859600000,13799900000,15.30,4884900000
V,Visa Inc.,650065937308,38893000000,24195000000,20286000000,10.24,22083000000
NFLX,"Netflix, Inc.",514420083731,41693183000,12303936000,10247880000,23.47,8500749000
MA,Mastercard Incorporated,507076552822,30241000000,16868000000,13586000000,14.83,15867000000
XOM,Exxon Mobil Corporation,499737815802,338078000000,45998000000,31015000000,7.04,29123000000
JNJ,Johnson & Johnson,432802578687,90627000000,21447000000,22661000000,9.35,18549000000
PLTR,Palantir Technologies Inc.,403840628938,3440587000,569548000,763292000,0.30,1708704000
HD,"The Home Depot, Inc.",408198110068,165054000000,21601000000,14629000000,14.71,14230000000
COST,Costco Wholesale Corporation,406202758150,268776000000,10084000000,7843000000,17.63,7317000000
ABBV,AbbVie Inc.,389720416194,58328000000,10968000000,3763000000,2.10,18239000000
BAC,Bank of America Corporation,386716719160,104521000000,36302000000,26594000000,3.41,-22678000000
BABA,Alibaba Group Holding Limited,399047343131,139188178025,19650818175,20628233658,8.59,5462602711
ASML,ASML Holding N.V.,374137882850,33385217391,12136516646,9459565217,24.07,10878867753
PG,The Procter & Gamble Company,357178912000,84284000000,20451000000,15974000000,6.51,14044000000
CVX,Chevron Corporation,322693951740,195327000000,23127000000,13716000000,7.77,24578000000
GE,General Electric Company,312808410377,41612000000,6925000000,7757000000,7.17,5544000000
UNH,UnitedHealth Group Incorporated,311624180890,422818000000,30750000000,21296000000,23.08,25271000000
